diaper, nappy, napki nipple      bucket, pail  swing     
golf ball   thimble     tennis ball  pick, plectrum, plectron
lynx, catamount  tabby, tabby cat  Egyptiacat  tiger cat 
container ship, containership, container vessel  seashore, coast, seacoast, sea-coast  fireboat    lakeside, lakeshore
spotlight, spot  loupe, jeweler's loupe  bannister, banister, balustrade, balusters, handrail  pedestal, plinth, footstall
tub, vat    bathtub, bathing tub, bath, tub  brassiere, bra, bandeau  pick, plectrum, plectron
Arctic fox, white fox, Alopex lagopus  ice cream, icecream  white wolf, Arctic wolf, Canis lupus tundrarum  tick      
spotlight, spot  water jug   pitcher, ewer  nipple    
face powder  thimble     spotlight, spot  golf ball 
spotlight, spot  loupe, jeweler's loupe  face powder  hourglass 
spotlight, spot  car mirror  loupe, jeweler's loupe  sunglass  
tick        paper towel  face powder  thimble   
trifle      golf ball   rock python, rock snake, Pythosebae  night snake, Hypsiglena torquata
ram, tup    muzzle      ox          Airedale, Airedale terrier
sunglasses, dark glasses, shades  vase        red wine    face powder
knot        candle, taper, wax light  hip, rose hip, rosehip  vase      
loupe, jeweler's loupe  pill bottle  perfume, essence  face powder
canoe       paddle, boat paddle  sundial     hair slide
tree frog, tree-frog  tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui  ice cream, icecream  banded gecko
car mirror  loupe, jeweler's loupe  bubble      sunglass  
pick, plectrum, plectro tick        consomme    chambered nautilus, pearly nautilus, nautilus
wig         hair spray  hand blower, blow dryer, blow drier, hair dryer, hair drier  neck brace
bubble      maraca      strainer    loupe, jeweler's loupe
tractor     amphibian, amphibious vehicle  half track  snowplow, snowplough
bubble      gong, tam-tam  balloo    maypole   
radio telescope, radio reflector  solar dish, solar collector, solar furnace  muzzle      nail      
sunglass    sunglasses, dark glasses, shades  radio telescope, radio reflector  bubble    
sweatshirt  lab coat, laboratory coat  hair spray  wig       
lab coat, laboratory coat  notebook, notebook computer  stethoscope  bathtub, bathing tub, bath, tub
torch       oboe, hautboy, hautbois  spotlight, spot  bassoo  
beacon, lighthouse, beacolight, pharos  water bottle  lotio     sunscreen, sunblock, sublocker
spotlight, spot  hourglass   toilet seat  bassinet  
cheetah, chetah, Acinonyx jubatus  leopard, Panthera pardus  thimble     Indiacobra, Naja naja
bubble      sunglass    fountai   spotlight, spot
sunglass    soccer ball  sunglasses, dark glasses, shades  bubble    
loupe, jeweler's loupe  computer keyboard, keypad  toilet seat  tray      
Arctic fox, white fox, Alopex lagopus  ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  white wolf, Arctic wolf, Canis lupus tundrarum  weasel    
cassette    printer     hard disc, hard disk, fixed disk  packet    
throne      analog clock  mosque      bell cote, bell cot
spotlight, spot  hair slide  perfume, essence  pill bottle
spotlight, spot  electric fan, blower  oxygemask  rocking chair, rocker
shower cap  radio telescope, radio reflector  spotlight, spot  car mirror
pick, plectrum, plectro toilet seat  tray        safety pin
pick, plectrum, plectro spotlight, spot  golf ball   puck, hockey puck
mortar      warthog     tub, vat    hog, pig, grunter, squealer, Sus scrofa
radio telescope, radio reflector  spotlight, spot  container ship, containership, container vessel  monitor   
sunglass    sunglasses, dark glasses, shades  lab coat, laboratory coat  pinwheel  
weasel      mink        Arctic fox, white fox, Alopex lagopus  black-footed ferret, ferret, Mustela nigripes
bonnet, poke bonnet  bath towel  bassinet    cradle    
bonnet, poke bonnet  shower cap  wool, woolen, woolle lampshade, lamp shade
car mirror  radio telescope, radio reflector  bubble      spotlight, spot
pencil sharpener  conch       spotlight, spot  mixing bowl
bonnet, poke bonnet  shower cap  ice cream, icecream  candle, taper, wax light
toilet seat  spotlight, spot  loupe, jeweler's loupe  cup       
necklace    mortar      face powder  nipple    
spotlight, spot  loupe, jeweler's loupe  pick, plectrum, plectro magnetic compass
bottlecap   puck, hockey puck  balloo    oil filter
Weimaraner  whippet     piggy bank, penny bank  Mexicahairless
ocarina, sweet potato  loupe, jeweler's loupe  thimble     pick, plectrum, plectron
pill bottle  nipple      screw       mortar    
pill bottle  cor       cup         strainer  
honeycomb   mask        strawberry  shower cap
spotlight, spot  pencil sharpener  toilet seat  bassinet  
bikini, two-piece  maillot, tank suit  maillot     swimming trunks, bathing trunks
spotlight, spot  safe        pencil sharpener  projector 
shower cap  toilet seat  hair spray  spotlight, spot
dining table, board  hourglass   china cabinet, china closet  mosquito net
mantis, mantid  pill bottle  scorpio   Petri dish
golf ball   cauliflower  perfume, essence  ping-pong ball
shower cap  paintbrush  car mirror  fountai 
lemo      orange      shower cap  coil, spiral, volute, whorl, helix
pick, plectrum, plectro bathing cap, swimming cap  Granny Smith  mortar    
spotlight, spot  toilet seat  desk        dishwasher, dish washer, dishwashing machine
hook, claw  tree frog, tree-frog  Africachameleon, Chamaeleo chamaeleo chai    
spotlight, spot  toilet seat  soap dispenser  airship, dirigible
pill bottle  cup         hair slide  lotio   
isopod      tick        hermit crab  whippet   
lacewing, lacewing fly  whiptail, whiptail lizard  alligator lizard  pick, plectrum, plectron
lampshade, lamp shade  goblet      table lamp  spotlight, spot
pill bottle  cor       pomegranate  hair slide
spotlight, spot  toilet seat  pencil sharpener  jigsaw puzzle
hair slide  necklace    thimble     cup       
Indiaelephant, Elephas maximus  triceratops  Africaelephant, Loxodonta africana  tub, vat  
bathtub, bathing tub, bath, tub  bubble      spotlight, spot  tub, vat  
screw       bubble      chai      slug      
hourglass   spotlight, spot  Windsor tie  gong, tam-tam
mortar      nipple      cup         piggy bank, penny bank
pick, plectrum, plectro hair slide  buckle      chambered nautilus, pearly nautilus, nautilus
spotlight, spot  soap dispenser  switch, electric switch, electrical switch  hourglass 
spotlight, spot  screw       goblet      electric fan, blower
French horn, hor loupe, jeweler's loupe  cornet, horn, trumpet, trump  pick, plectrum, plectron
strawberry  plate       tick        ice cream, icecream
trilobite   panpipe, pandeapipe, syrinx  vase        screw     
strainer    pick, plectrum, plectro Windsor tie  microphone, mike
chambered nautilus, pearly nautilus, nautilus  spotlight, spot  face powder  pick, plectrum, plectron
bubble      nipple      bell pepper  ladle     
loupe, jeweler's loupe  hamster     screw       wood rabbit, cottontail, cottontail rabbit
shower cap  plastic bag  pick, plectrum, plectro face powder
puck, hockey puck  oil filter  dumbbell    loupe, jeweler's loupe
face powder  mortar      tennis ball  pick, plectrum, plectron
tick        screw       spotlight, spot  pick, plectrum, plectron
pill bottle  strainer    dough       cup       
pick, plectrum, plectro toilet seat  screw       nail      
sunglass    sunglasses, dark glasses, shades  spotlight, spot  bubble    
face powder  pick, plectrum, plectro bubble      Petri dish
toilet seat  spotlight, spot  thimble     rule, ruler
banded gecko  commonewt, Triturus vulgaris  thunder snake, worm snake, Carphophis amoenus  spotted salamander, Ambystoma maculatum
pencil sharpener  hair slide  piggy bank, penny bank  screw     
conch       isopod      rotisserie  oxygemask
sunglass    sunglasses, dark glasses, shades  tricycle, trike, velocipede  park bench
picket fence, paling  steel arch bridge  harp        bubble    
scorpio   weevil      tick        bubble    
loupe, jeweler's loupe  face powder  pencil sharpener  shower cap
bell cote, bell cot  spotlight, spot  fountai   screw     
isopod      shower cap  hair slide  football helmet
bubble      soccer ball  parachute, chute  sunglasses, dark glasses, shades
spotlight, spot  pick, plectrum, plectro iron, smoothing iro gasmask, respirator, gas helmet
sunglass    balloo    dam, dike, dyke  pier      
seashore, coast, seacoast, sea-coast  spotlight, spot  piggy bank, penny bank  water bottle
necklace    hair slide  strainer    mortar    
grey fox, gray fox, Urocyocinereoargenteus  coyote, prairie wolf, brush wolf, Canis latrans  kit fox, Vulpes macrotis  timber wolf, grey wolf, gray wolf, Canis lupus
spotlight, spot  hourglass   goblet      hand blower, blow dryer, blow drier, hair dryer, hair drier
Germashepherd, Germashepherd dog, Germapolice dog, alsatia bloodhound, sleuthhound  Saluki, gazelle hound  Chihuahua 
pick, plectrum, plectro golf ball   vase        bathing cap, swimming cap
spotlight, spot  piggy bank, penny bank  oxygemask  bubble    
dung beetle  rhinoceros beetle  oxcart      isopod    
bonnet, poke bonnet  bow tie, bow-tie, bowtie  cowboy hat, ten-gallohat  kimono    
balloo    face powder  shower cap  pick, plectrum, plectron
hamster     weasel      bagel, beigel  paper towel
spotlight, spot  loupe, jeweler's loupe  mask        shower cap
spotlight, spot  sunglasses, dark glasses, shades  sunglass    loupe, jeweler's loupe
sunglass    bubble      balloo    sunglasses, dark glasses, shades
chambered nautilus, pearly nautilus, nautilus  spotlight, spot  Petri dish  shower cap
spotlight, spot  hourglass   loupe, jeweler's loupe  perfume, essence
banded gecko  Americachameleon, anole, Anolis carolinensis  commonewt, Triturus vulgaris  agama     
sunglass    car mirror  sunglasses, dark glasses, shades  fountai 
shower cap  nematode, nematode worm, roundworm  jellyfish   pick, plectrum, plectron
spotlight, spot  pencil sharpener  face powder  toilet seat
alligator lizard  banded gecko  Americachameleon, anole, Anolis carolinensis  whiptail, whiptail lizard
sunglass    sunglasses, dark glasses, shades  loupe, jeweler's loupe  car mirror
spotlight, spot  conch       screw       isopod    
spotlight, spot  sunglasses, dark glasses, shades  loupe, jeweler's loupe  toilet seat
spotlight, spot  solar dish, solar collector, solar furnace  golf ball   radio telescope, radio reflector
four-poster  mosquito net  studio couch, day bed  spotlight, spot
knot        pretzel     three-toed sloth, ai, Bradypus tridactylus  chimpanzee, chimp, Patroglodytes
mushroom    hen-of-the-woods, heof the woods, Polyporus frondosus, Grifola frondosa  agaric      jellyfish 
sunglass    sunglasses, dark glasses, shades  pick, plectrum, plectro bubble    
sunglass    sunglasses, dark glasses, shades  toilet seat  spotlight, spot
zebra       chambered nautilus, pearly nautilus, nautilus  partridge   baseball  
zebra       triceratops  gazelle     tiger, Panthera tigris
black-footed ferret, ferret, Mustela nigripes  polecat, fitch, foulmart, foumart, Mustela putorius  weasel      toy poodle
piggy bank, penny bank  triceratops  hippopotamus, hippo, river horse, Hippopotamus amphibius  golf ball 
bubble      golf ball   trifle      cup       
golf ball   face powder  bonnet, poke bonnet  spotlight, spot
mask        throne      shield, buckler  gong, tam-tam
picket fence, paling  lab coat, laboratory coat  cradle      groom, bridegroom
sunglass    sunglasses, dark glasses, shades  rocking chair, rocker  toilet seat
snow leopard, ounce, Panthera uncia  banded gecko  Egyptiacat  thimble   
loupe, jeweler's loupe  cup         mortar      corkscrew, bottle screw
bald eagle, Americaeagle, Haliaeetus leucocephalus  kite        ptarmiga  golf ball 
black grouse  goblet      cup         kite      
hair slide  pencil sharpener  mousetrap   safety pin
spotlight, spot  lampshade, lamp shade  screw       face powder
bubble      spotlight, spot  loupe, jeweler's loupe  mouse, computer mouse
bonnet, poke bonnet  sweatshirt  lab coat, laboratory coat  wool, woolen, woollen
sunglass    sunglasses, dark glasses, shades  television, televisiosystem  car mirror
ice cream, icecream  cup         plate       face powder
pill bottle  ping-pong ball  cup         golf ball 
cup         coffee mug  espresso    teapot    
sunglass    loupe, jeweler's loupe  triumphal arch  mosque    
analog clock  web site, website, internet site, site  hair slide  wall clock
pick, plectrum, plectro Petri dish  lemo      lacewing, lacewing fly
loupe, jeweler's loupe  bubble      fig         ladle     
face powder  hair slide  Petri dish  pot, flowerpot
dough       matchstick  cor       pill bottle
cup         toilet seat  goblet      coffeepot 
solar dish, solar collector, solar furnace  shower cap  spotlight, spot  monitor   
spotlight, spot  sunglasses, dark glasses, shades  sunglass    loupe, jeweler's loupe
plate       loupe, jeweler's loupe  banded gecko  scorpio 
shower cap  face powder  spotlight, spot  pick, plectrum, plectron
bathing cap, swimming cap  toilet tissue, toilet paper, bathroom tissue  tub, vat    sea lio 
racer, race car, racing car  football helmet  warplane, military plane  motor scooter, scooter
knot        coil, spiral, volute, whorl, helix  wool, woolen, woolle swab, swob, mop
spotlight, spot  candle, taper, wax light  jellyfish   soap dispenser
car mirror  sunglasses, dark glasses, shades  sunglass    television, televisiosystem
spotlight, spot  candle, taper, wax light  strainer    water bottle
bubble      bikini, two-piece  balloo    groom, bridegroom
syringe     pill bottle  water bottle  perfume, essence
abaya       puck, hockey puck  military uniform  sunglass  
spotlight, spot  toilet seat  plate rack  face powder
thimble     horned viper, cerastes, sand viper, horned asp, Cerastes cornutus  ringneck snake, ring-necked snake, ring snake  night snake, Hypsiglena torquata
golf ball   ice cream, icecream  bubble      spotlight, spot
hair slide  fig         mortar      maraca    
dumbbell    spotlight, spot  water bottle  sunglass  
pill bottle  hair slide  strainer    necklace  
goblet      cup         spotlight, spot  shower cap
table lamp  perfume, essence  lampshade, lamp shade  lotio   
screw       pick, plectrum, plectro tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui  thimble   
perfume, essence  bubble      piggy bank, penny bank  hoopskirt, crinoline
isopod      coyote, prairie wolf, brush wolf, Canis latrans  white wolf, Arctic wolf, Canis lupus tundrarum  spotlight, spot
safety pi hourglass   perfume, essence  necklace  
groom, bridegroom  mortar      shower cap  loupe, jeweler's loupe
llama       ram, tup    pencil sharpener  bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis
sunglass    sunglasses, dark glasses, shades  car mirror  loupe, jeweler's loupe
screw       thimble     switch, electric switch, electrical switch  lighter, light, igniter, ignitor
king snake, kingsnake  ringneck snake, ring-necked snake, ring snake  night snake, Hypsiglena torquata  thunder snake, worm snake, Carphophis amoenus
ski         paintbrush  golf ball   puck, hockey puck
stopwatch, stop watch  digital watch  iPod        sunglass  
spotlight, spot  car mirror  bubble      loupe, jeweler's loupe
park bench  bar       car mirror  radio telescope, radio reflector
Sealyham terrier, Sealyham  Norfolk terrier  Dandie Dinmont, Dandie Dinmont terrier  Australiaterrier
screw       starfish, sea star  banded gecko  conch     
bonnet, poke bonnet  wool, woolen, woolle cardiga   nipple    
crash helmet  thimble     banded gecko  loupe, jeweler's loupe
car mirror  snorkel     bubble      sunglass  
hair slide  screw       pick, plectrum, plectro necklace  
spotlight, spot  pick, plectrum, plectro jellyfish   bubble    
bubble      balloo    shower cap  soccer ball
radio telescope, radio reflector  hourglass   spotlight, spot  harp      
bubble      sunglass    loupe, jeweler's loupe  sunglasses, dark glasses, shades
corkscrew, bottle screw  loupe, jeweler's loupe  hook, claw  screw     
orangutan, orang, orangutang, Pongo pygmaeus  chimpanzee, chimp, Patroglodytes  gorilla, Gorilla gorilla  howler monkey, howler
bubble      gong, tam-tam  balloo    hair slide
soap dispenser  digital watch  switch, electric switch, electrical switch  pencil sharpener
spotlight, spot  thimble     wool, woolen, woolle face powder
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  Arctic fox, white fox, Alopex lagopus  white wolf, Arctic wolf, Canis lupus tundrarum  browbear, bruin, Ursus arctos
pick, plectrum, plectro bathing cap, swimming cap  rule, ruler  golf ball 
spotlight, spot  china cabinet, china closet  perfume, essence  television, televisiosystem
shower cap  pick, plectrum, plectro ice lolly, lolly, lollipop, popsicle  rule, ruler
gong, tam-tam  screw       face powder  loupe, jeweler's loupe
neck brace  strainer    toilet tissue, toilet paper, bathroom tissue  paper towel
honeycomb   soccer ball  golf ball   lampshade, lamp shade
pretzel     fig         bell pepper  mortar    
shower cap  golf ball   bathing cap, swimming cap  lampshade, lamp shade
spotlight, spot  loupe, jeweler's loupe  television, televisiosystem  planetarium
ibex, Capra ibex  llama       Norfolk terrier  Irish terrier
planetarium  stupa, tope  airship, dirigible  spotlight, spot
bubble      balloo    spotlight, spot  golf ball 
bubble      pick, plectrum, plectro necklace    pinwheel  
triceratops  Germashepherd, Germashepherd dog, Germapolice dog, alsatia grey fox, gray fox, Urocyocinereoargenteus  conch     
lab coat, laboratory coat  sunglass    sunglasses, dark glasses, shades  abaya     
pick, plectrum, plectro screw       switch, electric switch, electrical switch  spotlight, spot
spotlight, spot  sunglasses, dark glasses, shades  sunglass    goblet    
shower cap  pick, plectrum, plectro sunglass    loupe, jeweler's loupe
pick, plectrum, plectro solar dish, solar collector, solar furnace  wall clock  radio telescope, radio reflector
pill bottle  lemo      cor       cup       
chime, bell, gong  swing       lampshade, lamp shade  hook, claw
wool, woolen, woolle dugong, Dugong dugo orangutan, orang, orangutang, Pongo pygmaeus  electric ray, crampfish, numbfish, torpedo
lab coat, laboratory coat  hoopskirt, crinoline  shower cap  bulletproof vest
spotlight, spot  triceratops  tabby, tabby cat  tiger, Panthera tigris
military uniform  bulletproof vest  ballplayer, baseball player  half track
car mirror  spotlight, spot  sunglasses, dark glasses, shades  sunglass  
bubble      loupe, jeweler's loupe  pill bottle  face powder
spotlight, spot  bubble      strainer    perfume, essence
radio telescope, radio reflector  hair slide  pick, plectrum, plectro mousetrap 
screw       nail        hourglass   pencil sharpener
Arabiacamel, dromedary, Camelus dromedarius  parachute, chute  hoopskirt, crinoline  sunglass  
hair slide  necklace    pick, plectrum, plectro screw     
radio telescope, radio reflector  spotlight, spot  toilet seat  sunglass  
radio telescope, radio reflector  car mirror  tricycle, trike, velocipede  canno   
shower cap  pick, plectrum, plectro wig         maraca    
spotlight, spot  strainer    shower cap  hair slide
diaper, nappy, napki hoopskirt, crinoline  cradle      tub, vat  
crash helmet  loupe, jeweler's loupe  sunglass    bathing cap, swimming cap
spotlight, spot  modem       electric fan, blower  measuring cup
bathing cap, swimming cap  puck, hockey puck  thimble     perfume, essence
spotlight, spot  nematode, nematode worm, roundworm  screw       strainer  
fur coat    pick, plectrum, plectro Band Aid    knee pad  
fly         jellyfish   cicada, cicala  sea urchin
jellyfish   chiton, coat-of-mail shell, sea cradle, polyplacophore  trilobite   shower cap
sea urchi strainer    honeycomb   spotlight, spot
spotlight, spot  toaster     pencil sharpener  soap dispenser
radio telescope, radio reflector  cup         lacewing, lacewing fly  bubble    
spotlight, spot  confectionery, confectionary, candy store  perfume, essence  hourglass 
soccer ball  digital watch  crash helmet  digital clock
paintbrush  quill, quill pe wig         broom     
bubble      goblet      spotlight, spot  jellyfish 
pill bottle  lotio     golf ball   lemo    
matchstick  face powder  spotlight, spot  syringe   
spotlight, spot  hourglass   goblet      water tower
spotlight, spot  buckle      plate rack  goblet    
shower cap  bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis  plastic bag  isopod    
strainer    pill bottle  necklace    cor     
matchstick  golf ball   pill bottle  mortar    
mask        bubble      pick, plectrum, plectro bow tie, bow-tie, bowtie
spotlight, spot  nipple      thimble     pill bottle
spotlight, spot  hourglass   bubble      perfume, essence
bathing cap, swimming cap  sunglass    sunglasses, dark glasses, shades  bubble    
radio telescope, radio reflector  spotlight, spot  electric fan, blower  toilet seat
marmot      mink        weasel      mongoose  
sunglass    sunglasses, dark glasses, shades  car mirror  hair slide
castle      palace      sunglass    pencil sharpener
spotlight, spot  hair slide  bubble      face powder
shower cap  head cabbage  chambered nautilus, pearly nautilus, nautilus  box turtle, box tortoise
spotlight, spot  shower cap  screw       face powder
piggy bank, penny bank  corkscrew, bottle screw  hair slide  bubble    
jigsaw puzzle  pick, plectrum, plectro magnetic compass  spotlight, spot
toilet seat  tub, vat    bathtub, bathing tub, bath, tub  shower cap
loupe, jeweler's loupe  bell cote, bell cot  viaduct     pencil sharpener
triumphal arch  analog clock  magnetic compass  bell cote, bell cot
diaper, nappy, napki toilet tissue, toilet paper, bathroom tissue  vase        perfume, essence
balloo    shower cap  spotlight, spot  alp       
cheetah, chetah, Acinonyx jubatus  snow leopard, ounce, Panthera uncia  leopard, Panthera pardus  dalmatian, coach dog, carriage dog
shower cap  chambered nautilus, pearly nautilus, nautilus  head cabbage  spotlight, spot
spotlight, spot  carto     radio telescope, radio reflector  oil filter
bassinet    shopping basket  crib, cot   muzzle    
face powder  spotlight, spot  loupe, jeweler's loupe  screw     
mink        weasel      polecat, fitch, foulmart, foumart, Mustela putorius  black-footed ferret, ferret, Mustela nigripes
sunglass    car mirror  binoculars, field glasses, opera glasses  spotlight, spot
shower cap  face powder  necklace    spotlight, spot
pick, plectrum, plectro thimble     combinatiolock  screw     
spotlight, spot  toaster     minibus     passenger car, coach, carriage
pier        viaduct     dam, dike, dyke  steel arch bridge
nematode, nematode worm, roundworm  rule, ruler  digital watch  combinatiolock
nematode, nematode worm, roundworm  pick, plectrum, plectro chambered nautilus, pearly nautilus, nautilus  candle, taper, wax light
hermit crab  conch       nipple      axolotl, mud puppy, Ambystoma mexicanum
pencil sharpener  teapot      spotlight, spot  whiskey jug
shower cap  spotlight, spot  radio telescope, radio reflector  strainer  
pencil sharpener  thimble     spotlight, spot  perfume, essence
weasel      meerkat, mierkat  conch       Arctic fox, white fox, Alopex lagopus
spotlight, spot  throne      perfume, essence  hourglass 
lampshade, lamp shade  umbrella    screw       pinwheel  
nematode, nematode worm, roundworm  thunder snake, worm snake, Carphophis amoenus  commonewt, Triturus vulgaris  hook, claw
wig         loupe, jeweler's loupe  pick, plectrum, plectro oboe, hautboy, hautbois
spotlight, spot  pick, plectrum, plectro oil filter  thimble   
shower cap  face powder  hair slide  chambered nautilus, pearly nautilus, nautilus
pick, plectrum, plectro loupe, jeweler's loupe  hair slide  shower cap
radio telescope, radio reflector  solar dish, solar collector, solar furnace  spotlight, spot  airship, dirigible
